input: User; 주변의 상리경로당 업종이 어떻게 돼? 또, 밤늦게까지 영업도 할 수 있어?     output: SELECT category,hours24 FROM poi WHERE name='상리경로당' ORDER BY distance ASC;    pred: SELECT category,hours24 FROM poi WHERE name='상리경로당' ORDER BY distance ASC;    similar:[[1.]]
input: User; 창원시 의창구 팔용동 창원대로 동서가구 신창원대리점 발렛파킹이 되고 애완동물 동반되고 자동차정비가 되고 24시간 영업하고 유모차렌탈되고 영업중이면 문 열었는지 추천해줘     output: SELECT closedToday FROM poi WHERE name='동서가구' and branch='신창원대리점' and siGunGu='창원시 의창구' and eupMyeonDong='팔용동' and street='창원대로' and valetParkingService=true and petService=true and maintainService=true and hours24=true and strollerRental=true and closedToday=false;    pred: SELECT closedToday FROM poi WHERE name='동서가구' and branch='신창원대리점' and siGunGu='창원시 의창구' and eupMyeonDong='팔용동' and street='창원대로' and valetParkingService=true and petService=true and maintainService=true and hours24=true and strollerRental=true and closedToday=false    similar:[[1.]]
input: User; 선구동 몽벨 삼천포점 주변의 등산 5개 좀 가르쳐줄래     output: SELECT * FROM poi WHERE category='등산' ORDER BY distanceNearPlace ASC limit 5;    pred: SELECT * FROM poi WHERE category='등산' ORDER BY distanceNearPlace ASC limit 5    similar:[[1.]]
input: User; 스카이독서실 유모차대여와 배달과 예약과 장애인시설이용과 주차와 밤늦게까지 운영 가능해?     output: SELECT strollerRental,deliveryService,reservationService,disabledService,parkingService,hours24 FROM poi WHERE name='스카이독서실';    pred: SELECT strollerRental,deliveryService,reservationService,disabledService,parkingService,hours24 FROM poi WHERE name='스카이독서실';    similar:[[1.]]
input: User; 우진기업 위치와 자동차수리 가능한지 좀 애기해줄래     output: SELECT address,maintainService FROM poi WHERE name='우진기업';    pred: SELECT address,maintainService FROM poi WHERE name='우진기업';    similar:[[1.]]
input: User; 다세대 중에 도마동에 위치한 곳 말고 알아봐줘     output: SELECT * FROM poi WHERE eupMyeonDong!='도마동' and category='다세대';    pred: SELECT * FROM poi WHERE eupMyeonDong!='도마동' and category='다세대'    similar:[[1.]]
input: User; 남구 뺀 지역에 위치한 국수전문 얘기해줘     output: SELECT * FROM poi WHERE siGunGu!='남구' and category='국수전문';    pred: SELECT * FROM poi WHERE siGunGu!='남구' and category='국수전문'    similar:[[1.]]
input: User; 분식 세차서비스가 되고 영업중이고 유모차대여되면 영업중인지 좀 검색해줘     output: SELECT closedToday FROM poi WHERE category='분식' and washingService=true and closedToday=false and strollerRental=true;    pred: SELECT closedToday FROM poi WHERE category='분식' and washingService=true and closedToday=false and strollerRental=true;    similar:[[1.]]
input: User; 세븐 드라이브쓰루랑 영업하는지랑 유모차대여랑 애완동물 동반과 전화번호를 좀 검색해줘     output: SELECT driveThruService,closedToday,strollerRental,petService,representationNumber FROM poi WHERE name='세븐';    pred: SELECT driveThruService,closedToday,strollerRental,petService,representationNumber FROM poi WHERE name='세븐';    similar:[[1.]]
input: User; 가장 근처에 있는 금정 예약이 돼?     output: SELECT reservationService FROM poi WHERE name='금정' ORDER BY distance ASC;    pred: SELECT reservationService FROM poi WHERE name='금정' ORDER BY distance ASC;    similar:[[1.]]
input: User; 주변의 제일이용원 유네스코 세계문화유산인지랑 업종과 영업하는지랑 유모차대여와 가격과 포장이 가능한지 좀 뽑아줘     output: SELECT UNESCOHeritage,category,closedToday,strollerRental,price,packagingService FROM poi WHERE name='제일이용원' ORDER BY distance ASC;    pred: SELECT UNESCOHeritage,category,closedToday,strollerRental,price,packagingService FROM poi WHERE name='제일이용원' ORDER BY distance ASC    similar:[[1.]]
input: User; 효행로 블록대표건물 자동차수리랑 애완동물 동반과 예약이 돼?     output: SELECT maintainService,petService,reservationService FROM poi WHERE category='블록대표건물' and street='효행로';    pred: SELECT maintainService,petService,reservationService FROM poi WHERE category='블록대표건물' and street='효행로'    similar:[[1.]]
input: User; 춘천시 조양동 카스타임 어디에 있어?     output: SELECT address FROM poi WHERE name='카스타임' and siGunGu='춘천시' and eupMyeonDong='조양동';    pred: SELECT address FROM poi WHERE name='카스타임' and siGunGu='춘천시' and eupMyeonDong='조양동'    similar:[[1.]]
input: User; 근처 캐논as센터 예약 가능한지 알려줘봐. 장애인 편의시설이용 가능한지 알려줘     output: SELECT reservationService,disabledService FROM poi WHERE name='캐논as센터' ORDER BY distance ASC;    pred: SELECT reservationService,disabledService FROM poi WHERE name='캐논as센터' ORDER BY distance ASC;    similar:[[1.]]
input: User; 주차랑 배달이랑 드라이브쓰루와 야간 영업을 할 수 있는 인제로 240 부동산 검색해봐     output: SELECT * FROM poi WHERE category='부동산' and street='인제로' and streetNumber='240' and parkingService=true and deliveryService=true and driveThruService=true and hours24=true;    pred: SELECT * FROM poi WHERE category='부동산' and street='인제로' and streetNumber='240' and parkingService=true and deliveryService=true and driveThruService=true and hours24=true    similar:[[1.]]
avg_similarity : [[1.]]
